SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
526813,RAGHUNATH IN,XT,Q,3.84,3.84,3.84,3.84,3.84,3.66,1,1,3.00,
526817,CHEVIOT CO. ,X ,Q,660.00,660.00,657.00,658.55,659.00,663.65,46,954,628069.00,
526821,DAI-ICHI KAR,X ,Q,213.95,218.10,201.05,216.80,218.10,214.80,24,1677,355553.00,
526827,SPICE ISLAND,X ,Q,19.01,19.01,19.01,19.01,19.01,18.11,1,1,19.00,
526829,CONFI PETRO ,B ,Q,46.60,46.60,44.50,44.60,44.60,45.70,953,171924,7817611.00,
526849,BANARAS BEAD,B ,Q,48.00,48.15,44.00,44.00,44.00,46.00,5,1179,55912.00,
526853,BILCARE LTD.,X ,Q,27.05,27.90,26.75,26.95,26.75,27.95,58,7155,193809.00,
526861,RISHI LASER ,X ,Q,20.40,22.55,20.40,21.95,21.95,20.50,7,313,6396.00,
526881,63MOONS     ,B ,Q,79.50,80.45,79.40,79.60,79.60,79.75,251,18773,1497986.00,
526885,SARLA PER F ,B ,Q,25.10,27.15,25.05,26.75,26.75,26.45,17,582,15511.00,
526887,INDO CREDIT ,XT,Q,0.65,0.66,0.65,0.66,0.66,0.63,2,200,131.00,
526899,HFIL        ,Z ,Q,8.90,9.47,8.90,9.20,9.20,9.12,11,157,1438.00,
526905,PADMAIND    ,X ,Q,103.65,103.65,101.00,103.00,103.00,102.00,10,207,21170.00,
526917,CHD DEV LTD ,X ,Q,7.05,7.50,7.05,7.34,7.34,7.40,107,313734,2327546.00,
526921,21ST CEN.MGM,B ,Q,20.60,20.60,20.60,20.60,20.60,20.20,1,1,20.00,
526927,DION        ,XT,Q,4.54,4.54,4.54,4.54,4.54,4.33,2,25,113.00,
526931,HARIYANA SH.,X ,Q,62.00,63.95,62.00,63.10,63.95,62.10,12,322,20403.00,
526945,TYROON TEA  ,X ,Q,31.00,31.00,31.00,31.00,31.00,30.00,1,10,310.00,
526947,LA-OPALA RG ,B ,Q,205.00,205.05,204.50,204.90,204.90,205.00,10,347,71019.00,
526951,GOLDEN LAMIN,X ,Q,742.00,749.95,737.00,740.85,740.50,741.25,39,917,680316.00,
526953,VENUS REMEDI,B ,Q,35.20,35.55,34.70,34.90,35.55,34.85,17,1013,35497.00,
526957,UDL         ,X ,Q,19.35,20.40,19.15,20.20,20.20,19.70,42,12731,250017.00,
526965,GUJ.CRAFT IN,XT,Q,28.40,30.00,28.35,30.00,30.00,29.80,5,578,16419.00,
526971,DHOOT I.FIN.,X ,Q,32.95,33.00,32.95,33.00,33.00,31.30,5,317,10452.00,
526981,SHRI BAJRANG,X ,Q,16.20,17.50,16.20,17.50,17.50,17.80,4,51,852.00,
526987,URJA GLOBAL ,B ,Q,2.74,2.78,2.70,2.72,2.72,2.72,259,527754,1443156.00,
527001,ASHAPURA LTD,T ,Q,28.00,28.80,27.85,28.05,28.05,28.10,36,27510,777021.00,
530001,GUJ.ALKALI  ,A ,Q,480.10,486.05,476.50,480.55,480.00,482.85,194,2450,1175624.00,
530005,INDIA CEM.  ,A ,Q,108.00,110.00,105.70,109.45,109.50,107.40,1421,295483,31831001.00,
530007,JK TYRE IND ,A ,Q,92.40,92.50,91.50,91.95,91.95,92.35,269,28662,2634716.00,
530011,MANGLR.CHEM ,B ,Q,43.40,43.40,42.30,42.35,42.30,42.35,21,2295,97667.00,
530017,STD.INDUST. ,T ,Q,14.50,14.50,14.00,14.10,14.50,14.50,7,1241,17654.00,
530019,JUBILANT    ,A ,Q,691.00,700.70,682.40,687.05,687.05,686.85,1972,41888,28958425.00,
530023,THEINVEST   ,B ,Q,185.05,185.05,185.05,185.05,185.05,188.00,1,1,185.00,
530043,ACKNIT IND  ,X ,Q,90.00,90.30,90.00,90.30,90.30,90.25,7,261,23535.00,
530045,TITAN SECUR.,X ,Q,4.00,4.55,3.80,4.55,4.55,4.15,10,4201,16093.00,
530047,MOHOTAIND   ,B ,Q,37.00,37.35,35.95,36.35,36.35,36.25,24,954,34681.00,
530067,CSLFINANCE  ,X ,Q,300.55,300.55,298.10,298.15,298.10,304.55,10,260,78047.00,
530073,SANGHVI MOVE,B ,Q,114.25,117.90,112.15,115.50,115.70,117.00,76,2291,263995.00,
530075,SELAN EXPLOR,B ,Q,189.50,189.50,187.15,187.55,187.30,190.35,54,2624,494636.00,
530077,FRESHTROP FR,X ,Q,162.75,164.90,156.10,157.35,158.50,160.35,85,5517,874245.00,
530079,FAZE THREE L,X ,Q,52.00,52.00,49.50,51.00,51.00,50.45,4,264,13223.00,
530093,ACE INDIA LT,Z ,Q,1.99,2.08,1.99,2.08,2.08,1.99,5,698,1389.00,
530111,RAJ PACKAGIN,X ,Q,26.50,27.00,26.50,27.00,27.00,26.50,5,9110,241430.00,
530117,FAIRCHEM    ,B ,Q,461.00,462.90,458.00,458.00,458.00,463.25,7,373,171744.00,
530125,SAMRAT PHARM,X ,Q,80.10,87.40,80.10,86.05,87.40,82.00,71,11635,991524.00,
530129,NILE LTD.   ,X ,Q,325.00,343.80,325.00,338.05,336.00,337.55,21,556,187329.00,
530131,UDAIPUR CEME,X ,Q,14.45,14.57,14.10,14.35,14.44,14.39,66,18186,260919.00,
530135,OPTIEMUS    ,B ,Q,119.20,122.50,114.10,116.80,116.00,119.40,303,78955,9285345.00,
530145,KISAN MOULD.,X ,Q,49.80,49.90,47.50,48.75,48.75,47.60,52,6665,326274.00,
530149,KSL & IND.  ,X ,Q,2.76,2.76,2.76,2.76,2.76,2.76,1,1,2.00,
530151,VIJAY TEXTIL,X ,Q,31.60,31.60,29.50,30.90,30.90,30.75,13,556,16679.00,
530163,KERALA AYUR ,X ,Q,62.50,67.65,62.50,66.10,66.05,64.60,35,4797,319140.00,
